,炉号,钢种,钢号,转炉终点温度,转炉终点C,转炉终点Mn,转炉终点S,转炉终点P,转炉终点Si,钢水净重,连铸正样C,连铸正样Mn,连铸正样S,连铸正样P,连铸正样Si,连铸正样Ceq_val,连铸正样Cr,连铸正样Ni_val,连铸正样Cu_val,连铸正样Nb_val,连铸正样V_val,连铸正样Alt_val,连铸正样Als_val,连铸正样Mo_val,连铸正样Ti_val,连铸正样N_val,连铸正样O_val,连铸正样B_val,氮化钒铁FeV55N11-A,低铝硅铁,钒氮合金(进口),钒铁(FeV50-A),错误（钒铁(FeV50-B)）,钒铁(FeV50-B),硅铝钙,硅铝合金FeAl30Si25,硅铝锰合金球,硅锰面（硅锰渣）,硅铁(合格块),硅铁FeSi75-B,石油焦增碳剂,锰硅合金FeMn64Si27(合格块),锰硅合金FeMn68Si18(合格块),碳化硅(55%),硅钙碳脱氧剂,C采收率
13,7A06865             ,低合金    ,HRB400B    ,0.0,0.00065,0.0015,0.00024,0.00029,0.004,67400.0,0.0022,0.0129,0.00026,0.0003,0.0035,0.448,0.0022,0.005,0.012,,0.032,0.0052,0.0029,0.0029,0.0,,,,0.0,0.0,5.0,0.0,0.0,41.0,25.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,1530.0,132.0,0.0,0.729595729836042
39,7A06831             ,低合金    ,HRB400B    ,0.0,0.00019,0.0005,0.00027,0.00015,0.003,73000.0,0.0024,0.0129,0.00027,0.00019,0.0036,0.465,0.0012,0.006,0.012,,0.032,0.0047,0.0024,0.0028,0.0,,,,0.0,0.0,31.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,1560.0,132.0,0.0,1.06154075277552
40,7A06830             ,低合金    ,HRB400B    ,0.0,0.00041,0.0009,0.00031,0.00019,0.003,73000.0,0.0023,0.0135,0.00031,0.00022,0.0037,0.467,0.0017,0.006,0.011,,0.033,0.0065,0.0041,0.0026,0.0,,,,0.0,0.0,5.0,0.0,0.0,40.0,50.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,1520.0,132.0,0.0,0.908893479383544
64,7A06806             ,低合金    ,HRB400B    ,0.0,0.00074,0.0009,0.00027,0.00013,0.003,71750.0,0.0023,0.0137,0.00027,0.00021,0.0036,0.471,0.0021,0.005,0.01,,0.034,0.0044,0.0022,0.0024,0.0,,,,0.0,0.0,10.0,0.0,0.0,30.0,25.0,0.0,0.0,200.0,0.0,0.0,80.0,0.0,1280.0,88.0,0.0,0.840697375693833
67,7A06803             ,低合金    ,HRB400B    ,0.0,0.00088,0.0011,0.00027,0.00013,0.003,69000.0,0.0022,0.0142,0.00026,0.00017,0.0038,0.47,0.002,0.005,0.01,,0.036,0.0044,0.0022,0.0023,0.0,,,,0.0,0.0,10.0,0.0,0.0,32.0,0.0,0.0,0.0,200.0,0.0,0.0,60.0,0.0,1280.0,88.0,20.0,0.767862010806514
106,7A06764             ,低合金    ,HRB400B    ,0.0,0.00059,0.001,0.00017,0.00014,0.003,74800.0,0.0023,0.013,0.00023,0.00019,0.0037,0.458,0.002,0.004,0.01,,0.031,0.0055,0.0033,0.003,0.0,,,,0.0,0.0,4.0,0.0,0.0,40.0,50.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,1300.0,132.0,0.0,1.90019318042438
108,7A06762             ,低合金    ,HRB400B    ,0.0,0.00046,0.0008,0.00023,0.00013,0.003,73500.0,0.0022,0.013,0.00027,0.00019,0.0037,0.448,0.0017,0.005,0.01,,0.032,0.1533,0.1227,0.0038,0.0,,,,0.0,0.0,4.0,0.0,0.0,40.0,50.0,0.0,0.0,200.0,0.0,0.0,90.0,0.0,1300.0,132.0,0.0,0.817118661953252
152,7A06718             ,低合金    ,HRB400B    ,0.0,0.00069,0.001,0.00021,0.00013,0.002,68800.0,0.0023,0.0129,0.00024,0.0002,0.0036,0.46,0.0029,0.008,0.02,,0.034,0.0054,0.0031,0.0034,0.0,,,,0.0,0.0,4.0,0.0,0.0,38.0,50.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,1400.0,132.0,0.0,0.829799887886283
158,7A06712             ,低合金    ,HRB400B    ,0.0,0.00054,0.0009,0.00029,0.00017,0.003,69350.0,0.0022,0.013,0.00031,0.00025,0.0035,0.45,0.0019,0.006,0.013,0.0,0.036,0.006,0.0037,0.0043,0.002,,,,0.0,0.0,31.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,1390.0,132.0,0.0,0.795675212454474
164,7A06706             ,低合金    ,HRB400B    ,0.0,0.00073,0.0012,0.00028,0.00026,0.003,70950.0,0.0022,0.0142,0.00028,0.00031,0.0037,0.471,0.0026,0.005,0.013,,0.034,0.0051,0.0029,0.0032,0.0,,,,0.0,0.0,32.0,0.0,0.0,0.0,25.0,0.0,0.0,200.0,0.0,0.0,68.0,0.0,1300.0,132.0,0.0,0.770295290688756
165,7A06705             ,低合金    ,HRB400B    ,0.0,0.00072,0.0013,0.00025,0.00016,0.003,74300.0,0.0024,0.0136,0.00034,0.00023,0.0038,0.481,0.0028,0.007,0.014,,0.032,0.0047,0.0025,0.0031,0.0,,,,0.0,0.0,4.0,0.0,0.0,40.0,25.0,0.0,0.0,200.0,0.0,0.0,70.0,0.0,1300.0,132.0,0.0,0.910511689723916
166,7A06704             ,低合金    ,Q345B      ,0.0,0.00075,0.0013,0.00021,0.00019,0.003,72900.0,0.0017,0.0132,0.00027,0.00023,0.0032,0.402,0.0024,0.007,0.015,,0.027,0.0051,0.0032,0.004,,,,0.0004,0.0,0.0,23.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,60.0,0.0,1500.0,0.0,0.0,0.796785819226317
181,7A06689             ,低合金    ,Q345B      ,0.0,0.00016,0.0007,0.00024,0.0002,0.002,74000.0,0.0017,0.0131,0.00025,0.00026,0.0033,0.4,0.0019,0.007,0.014,,0.027,0.0041,0.0021,0.004,,,,0.0002,0.0,0.0,24.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,85.0,0.0,1550.0,0.0,0.0,1.02314847695252
182,7A06688             ,低合金    ,HRB400B    ,0.0,0.0,0.0,0.0,0.0,0.002,70500.0,0.0024,0.0133,0.0003,0.00018,0.0037,0.475,0.0021,0.006,0.018,,0.034,0.0044,0.0022,0.0036,0.0,,,,0.0,0.0,30.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,1530.0,132.0,0.0,1.15741310301242
200,7A06670             ,低合金    ,HRB400D    ,0.0,0.00071,0.0008,0.00032,0.00027,0.0,74550.0,0.0022,0.0131,0.0003,0.00028,0.0037,0.452,0.0027,0.006,0.015,0.0,0.032,0.0063,0.0039,0.0035,0.002,,,,0.0,0.0,9.0,0.0,0.0,28.0,25.0,0.0,0.0,200.0,0.0,0.0,68.0,0.0,1300.0,132.0,0.0,0.821688736138235
238,7A06632             ,低合金    ,HRB500D    ,0.0,0.00081,0.0008,0.00033,0.00019,0.002,71700.0,0.0023,0.0141,0.00031,0.00023,0.0047,0.489,0.0026,0.006,0.018,,0.083,0.0063,0.0039,0.0038,0.0018,,,0.0005,0.0,0.0,77.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,150.0,85.0,0.0,1600.0,0.0,0.0,0.939388990076479
240,7A06630             ,低合金    ,HRB500D    ,0.0,0.00075,0.0008,0.00034,0.00014,0.002,74650.0,0.0022,0.0138,0.00032,0.00019,0.0046,0.474,0.0026,0.005,0.017,,0.083,0.0072,0.0045,0.0058,0.0018,,,0.0005,0.0,0.0,78.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,150.0,85.0,0.0,1600.0,0.0,0.0,0.952757226546384
244,7A06626             ,低合金    ,HRB500D    ,0.0,0.00069,0.0009,0.00032,0.00012,0.002,69650.0,0.0022,0.0137,0.00027,0.00018,0.0046,0.473,0.0026,0.009,0.018,,0.082,0.2379,0.1868,0.0076,0.0027,,,0.0007,0.0,0.0,73.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,150.0,102.0,0.0,1460.0,0.0,0.0,0.822118081240804
249,7A06621             ,低合金    ,HRB500D    ,0.0,0.00074,0.001,0.00029,0.00012,0.002,73100.0,0.0022,0.0144,0.0003,0.00018,0.005,0.495,0.0065,0.03,0.017,,0.084,0.0072,0.0045,0.0081,0.0024,,,0.0005,0.0,0.0,78.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,160.0,85.0,0.0,1600.0,0.0,0.0,0.938600881897271
380,7A06490             ,低合金    ,HRB500D    ,0.0,0.0006,,0.0003,,0.003,71900.0,0.0022,0.0143,0.0003,0.00025,0.0044,0.478,0.002,0.003,0.014,,0.073,0.0055,0.0034,0.0016,0.0018,,,0.0005,0.0,0.0,69.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,120.0,105.0,0.0,1550.0,0.0,0.0,0.866760332042415
389,7A06481             ,低合金    ,HRB500B    ,0.0,0.00075,,0.00023,,0.001,74600.0,0.0022,0.0146,0.00027,0.00023,0.0051,0.487,0.0025,0.004,0.017,,0.085,0.0076,0.0047,0.0023,0.0017,,,0.0005,0.0,0.0,82.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,200.0,85.0,0.0,1660.0,0.0,0.0,0.813909988987757
395,7A06475             ,低合金    ,HRB500D    ,0.0,0.00075,,0.00025,,0.002,70050.0,0.0021,0.0141,0.00026,0.0002,0.0046,0.468,0.0022,0.003,0.017,,0.081,0.0049,0.003,0.0028,0.0013,,,0.0005,0.0,0.0,77.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,160.0,102.0,0.0,1610.0,0.0,0.0,0.82721150653013
396,7A06474             ,低合金    ,HRB500D    ,0.0,0.00101,,0.00025,,0.002,73400.0,0.0021,0.0145,0.0003,0.00022,0.0052,0.475,0.0024,0.004,0.017,,0.083,0.0074,0.0046,0.0029,0.0025,,,0.0005,0.0,0.0,77.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,200.0,68.0,0.0,1550.0,0.0,0.0,0.813056596450535
438,7A06432             ,低合金    ,HRB400B    ,0.0,0.0009,,0.00029,,0.002,70200.0,0.0022,0.0131,0.00025,0.00022,0.0039,0.452,0.0025,0.005,0.015,,0.036,0.4711,0.3835,0.0015,0.0,,,,15.0,0.0,0.0,0.0,0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,1540.0,132.0,0.0,0.873941583906682
449,7A06421             ,低合金    ,HRB400B    ,0.0,0.00072,,0.00034,,0.003,71000.0,0.0024,0.0131,0.00025,0.00018,0.0036,0.471,0.0018,0.006,0.017,,0.036,0.0038,0.0016,0.0004,0.0,,,,45.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,1550.0,88.0,0.0,0.841375619557004
465,7A06405             ,低合金    ,HRB400B    ,0.0,0.0008,,0.00042,,0.003,71700.0,0.0023,0.0133,0.00028,0.00026,0.0037,0.462,0.0013,0.003,0.009,,0.035,0.0032,0.001,0.0001,0.0,,,,14.0,0.0,0.0,0.0,0.0,30.0,50.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,1548.0,88.0,0.0,0.754382993246729
468,7A06402             ,低合金    ,HRB400B    ,0.0,0.00082,,0.00024,,0.001,73000.0,0.0023,0.0135,0.00027,0.00023,0.0038,0.466,0.0016,0.005,0.012,,0.037,0.0037,0.0015,0.0003,0.0,,,,14.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,1483.0,88.0,20.0,0.948486346913804
